,name,year,imdb,number_votes,age_rating,genres,directors
244,Sea of Thieves,2018,5.7,223,12,"Action, Adventure, Fantasy",Gregg Mayles
245,Forza Motorsport 6,2015,8.0,222,none,"Action, Adventure, Family",Rebecca Riedy
246,Marvel vs. Capcom: Infinite,2017,6.3,218,12,"Action, Adventure, Sci-Fi",Norio Hirose
247,Enderal: The Shards of Order,2016,8.6,216,none,"Action, Adventure, Fantasy",Nicolas Lietzau
248,Doragon kuesuto XI: Sugisarishi toki o motomete,2017,8.8,215,10,"Adventure, Family, Fantasy",Takeshi Uchikawa
249,Her Story,2015,7.7,213,none,"Adventure, Crime, Mystery",Sam Barlow
250,Metal Gear Survive,2018,1.8,210,14,"Action, Adventure, Horror",Youta Tsutsumizaki
251,Batman: Arkham VR,2016,7.2,210,none,"Action, Adventure, Crime",Sefton Hill
252,Tom Clancy's Ghost Recon Breakpoint,2019,5.2,210,none,"Action, War",Elie Benhamou
253,Hidden Agenda,2017,7.2,208,none,"Crime, Drama, Mystery",Will Doyle
254,Doragon bôru: Zenobâsu 2,2016,7.0,208,10,"Animation, Action, Adventure",Yuka Kobayashi
255,Homefront: The Revolution,2016,5.2,206,none,"Action, Adventure, Drama",Hasit Zala
256,Blair Witch,2019,6.6,205,none,"Adventure, Horror, Mystery",Mateusz Lenart
257,"Pokémon: Let's Go, Pikachu!",2018,7.4,201,none,"Action, Adventure, Family",Junichi Masuda
258,WWE 2K18,2017,6.5,200,12,Sport,Colby Lopez
259,Pro Evolution Soccer 2016,2015,6.9,198,none,"Action, Adventure, Sport",Yoshikatsu Ogihara
260,Faiâ emuburemu: Fuuka setsugetsu,2019,8.8,197,none,"Action, Adventure, Drama",Toshiyuki Kusakihara
261,Madden NFL 18: Longshot,2017,6.9,197,none,"Drama, Sport",Michael Young
262,The Legend of Zelda: Link's Awakening,2019,8.5,195,none,"Action, Adventure, Family",Mikiharu Oiwa
263,State of Decay 2,2018,6.5,193,none,"Action, Horror, Thriller",Kevin McMullan
264,ARK: Survival Evolved,2016,6.3,193,14,"Action, Adventure, Sci-Fi",Jesse Rapczak
265,Ryuu ga gotoku: Kiwami 2,2017,8.9,190,16,Action,Hiroyuki Sakamoto
266,Clash Royale,2016,6.8,190,none,"Action, Fantasy",Will Choi
267,We Happy Few,2018,7.0,189,18,"Sci-Fi, Thriller",Guillaume Provost
268,Killing Floor 2,2015,7.2,189,none,Horror,Lynn Andrews III
269,Yakuza 6,2016,8.7,188,18,"Action, Adventure, Crime",Hiroyuki Sakamoto
270,Thimbleweed Park,2017,8.2,187,none,"Adventure, Comedy, Fantasy",Nicole Oliver
271,WWE 2K19,2018,7.2,186,none,Sport,A.J. Styles
272,Minecraft: Story Mode - Season 2,2017,7.4,186,12,"Adventure, Comedy",Mark Droste
273,Transformers: Devastation,2015,7.0,185,none,"Action, Family, Sci-Fi",Kenji Saito
274,Forza Motorsport 7,2017,7.9,183,none,"Action, Adventure, Family",Katherine Kingsley
275,Zenobureido 2,2017,8.4,183,none,"Action, Adventure, Family",Ko Kojima
276,Star Wars: The Old Republic - Knights of the Eternal Throne,2016,8.2,183,none,Action,Charles Boyd
277,The Long Dark,2017,8.3,181,none,"Adventure, Drama, Mystery",Raphael van Lierop
278,Mario Tennis Aces,2018,7.2,180,none,"Action, Sport",Shugo Takahashi
279,Soulcalibur VI,2018,7.6,179,none,"Action, Adventure, Family",Daishi Odashima
280,Syberia III,2017,8.3,177,none,"Adventure, Fantasy",Benoît Sokal
281,Marvel Avengers Academy,2016,6.8,173,none,"Action, Adventure, Comedy",Jesse Adam
282,Total War: Attila,2015,8.0,173,none,"Action, History, War",Gaspar Janos
283,Gris,2018,8.6,172,none,Adventure,none
284,XCOM 2: War of the Chosen,2017,8.5,172,none,"Action, Sci-Fi",Jacob Solomon
285,Project Cars,2015,6.8,172,none,Sport,Ian Bell
286,Five Nights at Freddy's World,2016,5.2,168,none,"Adventure, Fantasy",Scott Cawthon
287,Lego The Incredibles,2018,7.1,166,none,"Action, Adventure, Comedy",Pete Gomer
288,Sherlock Holmes: The Devils Daughter,2016,7.5,166,14,Adventure,Aurélie Ludot
289,Dead or Alive 5: Last Round,2015,7.8,166,16,Action,Laura Bailey
290,Super Mario Maker 2,2019,8.8,164,none,"Action, Family",Yosuke Oshino
291,Luigi's Mansion,2018,8.3,164,none,"Adventure, Comedy, Horror",Katsumi Kuga
292,Luigi's Mansion 3,2019,8.6,162,none,"Adventure, Comedy, Family",Devon Blanchet
293,Deltarune,2018,8.4,161,none,"Adventure, Comedy, Fantasy",Toby Fox
294,Bendy and the Ink Machine,2017,7.2,161,none,"Adventure, Fantasy, Horror",TheMeatly
295,Total War: Warhammer,2016,7.7,161,none,"Action, Adventure, Fantasy",Ian Roxburgh
296,Zenobureido kurosu,2015,8.1,161,none,"Action, Adventure, Crime",Ko Kojima
